"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"216","38.07209738","0.03989535","0.02626596","0.0","2","83","false","97","4.0","2","0","0","0.705777","false","0","97","48873022","0.5"
"217","38.97958801","0.04019601","0.02565445","0.0","4","84","false","98","3.0","4","0","0","0.6985747","false","0","98","48667152","0.25"
"219","43.44868914","0.00962824","0.02301565","0.0","3","85","false","99","2.0","3","0","0","0.66310564","false","0","99","3742062","0.33333333"
"220","43.30393258","0.00951784","0.02309259","0.0","3","84","false","100","2.5","3","0","1","0.6642545","false","0","100","3718786","0.5"
"222","31.117603","0.17642216","0.03213615","0.33333333","4","70","false","101","3.0","4","0","0","0.7609714","false","0","101","66073308","0.39285714"
"223","30.98183521","0.18966104","0.03227698","0.33333333","3","71","false","102","3.0","3","0","0","0.76204893","false","0","102","76882672","0.53333333"
"225","45.13745318","0.0","0.02215455","0.0","3","84","false","103","4.0","2","0","0","0.64970275","false","1","103","0","0.0"
"227","43.30617978","0.0","0.02309139","0.0","1","101","false","104","4.0","1","0","0","0.66423667","false","0","104","0","0.0"
"228","42.30636704","0.05435117","0.0236371","0.0","4","100","false","105","2.5","4","0","0","0.67217169","false","0","105","21970800","0.25"
"230","37.10861423","0.00731411","0.02694792","0.0","3","81","false","106","3.0","3","0","0","0.7134237","false","0","106","2062428","0.4"
"231","37.01011236","0.00995852","0.02701964","0.0","3","82","false","107","3.0","3","0","0","0.71420546","false","0","107","2557248","0.33333333"
"233","48.69868914","0.00459743","0.02053443","0.33333333","4","90","false","108","2.75","4","0","0","0.62143898","false","0","108","3856092","0.41666667"
"234","49.07921348","0.00863458","0.02037522","0.33333333","3","90","false","109","3.66666667","3","0","0","0.61841894","false","0","109","7098784","0.47619048"
"236","39.71310861","1.0001E-4","0.0251806","0.0","3","88","false","110","3.0","3","0","0","0.69275311","false","0","110","11852","0.4"
"237","38.89138577","5.3717E-4","0.02571263","0.0","3","87","false","111","2.33333333","3","0","0","0.69927472","false","0","111","125724","0.44444444"
"239","47.41554307","4.9103E-4","0.02109013","0.33333333","3","90","false","112","3.0","3","0","0","0.63162267","false","0","112","105986","0.44444444"
"240","47.59981273","1.4085E-4","0.02100849","0.33333333","3","90","false","113","3.0","3","0","0","0.63016022","false","0","113","37892","0.44444444"
"242","40.57509363","0.00746244","0.02464566","0.0","3","90","false","114","2.33333333","3","0","0","0.68591196","false","0","114","2254142","0.33333333"
"243","40.1494382","0.0104888","0.02490695","0.0","3","89","false","115","3.0","3","0","0","0.68929017","false","0","115","4262472","0.33333333"
"245","38.75280899","3.7126E-4","0.02580458","0.0","3","81","false","116","2.66666667","3","0","0","0.70037453","false","0","116","480016","0.41666667"
"246","37.76835206","0.00193056","0.02647719","0.0","3","80","false","117","3.0","3","0","0","0.70818768","false","0","117","1125824","0.4"
"248","36.30636704","4.1701E-4","0.02754338","0.0","3","84","false","118","3.33333333","3","0","0","0.71979074","false","0","118","135530","0.33333333"
"249","36.11385768","5.3739E-4","0.0276902","0.0","3","83","false","119","2.33333333","3","0","0","0.72131859","false","0","119","841860","0.33333333"
"251","48.68632959","0.00120452","0.02053965","0.0","3","102","false","120","3.0","3","0","0","0.62153707","false","0","120","459582","0.33333333"
"252","47.72284644","0.00179319","0.02095432","0.0","3","101","false","121","3.66666667","3","0","0","0.62918376","false","0","121","751070","0.33333333"
"254","40.33745318","5.3873E-4","0.02479086","0.0","3","84","false","122","2.33333333","3","0","0","0.68779799","false","0","122","280762","0.33333333"
"255","41.33726592","0.0","0.02419125","0.0","1","85","false","123","3.0","1","0","0","0.67986297","false","0","123","0","0.0"
"257","32.09756554","0.13396372","0.03115501","0.0","4","75","false","124","3.25","4","0","0","0.75319392","false","0","124","81430836","0.32142857"
"258","32.96348315","0.01669836","0.0303366","0.0","3","76","false","125","2.66666667","3","0","0","0.74632156","false","0","125","5426806","0.33333333"
"260","46.48876404","0.0","0.02151057","0.0","1","94","false","126","3.0","1","0","0","0.63897806","false","0","126","0","0.0"
"261","45.48895131","0.00191805","0.02198336","0.0","3","93","false","127","2.33333333","3","0","0","0.64691308","false","0","127","1268684","0.33333333"
"263","36.98258427","0.00283413","0.02703975","0.0","3","85","false","128","2.66666667","3","0","0","0.71442393","false","0","128","561108","0.33333333"
"264","37.98202247","3.7453E-4","0.02632825","0.0","2","86","false","129","2.0","2","0","0","0.70649189","false","0","129","63860","0.5"
"266","33.55524345","0.04024493","0.0298016","0.16666667","4","81","false","130","3.5","4","0","0","0.74162505","false","0","130","28056038","0.375"
"267","33.05861423","0.03980018","0.0302493","0.0","3","80","false","131","3.0","3","0","0","0.74556655","false","0","131","27607268","0.33333333"
"269","53.52172285","0.03073544","0.018684","0.0","5","101","false","132","2.2","5","0","0","0.58316093","false","0","132","23320328","0.2"
"270","54.52116105","3.7453E-4","0.0183415","0.0","2","102","false","133","3.0","2","0","0","0.57522888","false","0","133","252054","0.5"
"272","59.23614232","7.8829E-4","0.01688159","0.0","3","107","false","134","3.0","3","0","0","0.53780839","false","0","134","1010620","0.4"
"273","60.23558052","3.7453E-4","0.01660148","0.0","2","108","false","135","2.0","2","0","0","0.52987635","false","0","135","503476","0.5"
"275","38.89794007","0.00194506","0.0257083","0.33333333","3","88","false","136","3.66666667","3","0","0","0.6992227","false","0","136","1373728","0.47619048"
"276","38.12059925","0.007551","0.02623254","0.16666667","4","87","false","137","3.25","4","0","0","0.70539207","false","0","137","4255566","0.30555556"
"278","40.13483146","4.8364E-4","0.02491601","0.0","3","89","false","138","2.33333333","3","0","0","0.6894061","false","0","138","185580","0.44444444"
"279","41.13464419","0.0","0.02431041","0.0","1","90","false","139","3.0","1","0","0","0.68147108","false","0","139","0","0.0"
"281","40.0423221","0.07993764","0.02497358","0.33333333","3","89","false","140","4.0","3","0","0","0.6901403","false","0","140","207084634","0.40740741"
"282","40.88614232","0.08116848","0.02445816","0.0","4","90","false","141","3.25","4","0","0","0.68344331","false","0","141","206862708","0.25"
"284","49.76198502","0.02834916","0.02009566","0.0","3","102","false","142","2.33333333","3","0","0","0.61300012","false","0","142","47416288","0.33333333"
"285","50.62827715","0.02770072","0.01975181","0.0","3","103","false","143","3.0","3","0","0","0.60612478","false","0","143","46426484","0.33333333"
"287","60.0664794","0.00442502","0.01664822","0.0","3","108","false","144","3.0","3","0","0","0.53121842","false","0","144","3444952","0.4"
"288","60.96460674","3.3595E-4","0.01640296","0.0","3","109","false","145","2.66666667","3","0","0","0.52409042","false","0","145","489822","0.41666667"
"290","39.07902622","8.8921E-4","0.02558917","0.0","3","77","false","146","2.66666667","3","0","0","0.69778551","false","0","146","120972","0.33333333"
"291","38.93970037","3.794E-4","0.02568073","0.33333333","3","77","false","147","3.0","3","0","0","0.69889127","false","0","147","50840","0.44444444"
"293","44.76123596","0.0015252","0.02234076","0.0","3","80","false","148","2.0","3","0","0","0.6526886","false","0","148","289890","0.33333333"
"294","43.85355805","0.00184274","0.02280317","0.0","2","79","false","149","3.5","2","0","0","0.6598924","false","0","149","332652","0.5"
"296","47.03520599","0.00146461","0.02126067","0.16666667","4","95","false","150","2.25","4","0","0","0.63464122","false","0","150","263532","0.35"
"297","48.0329588","3.7453E-4","0.02081904","0.33333333","3","96","false","151","2.66666667","3","0","0","0.62672255","false","0","151","69236","0.46666667"
"299","40.12397004","0.00387272","0.02492276","0.0","3","92","false","152","3.33333333","3","0","0","0.6894923","false","0","152","9943202","0.33333333"
"300","39.24737828","0.02299231","0.02547941","0.0","3","91","false","153","3.0","3","0","0","0.69644938","false","0","153","40486576","0.33333333"
"302","46.46835206","0.01603983","0.02152002","0.0","3","94","false","154","3.0","3","0","0","0.63914006","false","0","154","10571076","0.33333333"
"303","45.52734082","0.01672085","0.02196482","0.0","3","93","false","155","2.33333333","3","0","0","0.64660841","false","0","155","11071972","0.33333333"
"305","42.96779026","3.2589E-4","0.02327325","0.33333333","3","97","false","156","4.0","3","0","0","0.6669223","false","0","156","2090042","0.45833333"
"306","42.20505618","0.00721618","0.02369384","0.16666667","4","96","false","157","3.5","4","0","0","0.67297574","false","0","157","21211660","0.33333333"
"308","32.12752809","0.00165769","0.03112596","0.0","3","72","false","158","3.33333333","3","0","0","0.75295613","false","0","158","1387420","0.38888889"
"309","33.12509363","5.9087E-4","0.03018859","0.0","3","73","false","159","2.33333333","3","0","0","0.74503894","false","0","159","525288","0.44444444"
